,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11
Route,Route0,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11
total_distance_x,142.7410340945046,163.6244008381403,154.40348030513164,154.8123363523556,164.15640176901664,156.77557362890218,130.43523767237832,118.48238124466822,173.55246977606924,112.88140160852477,128.95302572619966,146.8692154760161
left_time,114.30867483383685,26.55423162096546,68.99047036121289,4.55684058717809,6.08004814923062,7.746318493133536,15.828383391731485,26.54602287924193,0.7034285337454786,9.435353623853906,8.411134999941993,7.771952111579367
work_time,365.69132516616315,453.4457683790345,411.0095296387871,475.4431594128219,473.9199518507694,472.2536815068665,464.1716166082685,453.45397712075805,479.29657146625453,470.5646463761461,471.58886500005804,472.22804788842063
to_dp_time,97.97868683804194,131.4351160347832,118.6509565692773,78.32908669570706,80.07149461846156,66.29135387188211,107.1092427216137,96.77846334531556,67.79639555089571,76.75784088207695,57.28233022501735,35.279351084664064
P0,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP
P1,안산-1639,안산-1285,안산-1700,안산-241,안산-1280,안산-1185,안산-1410,안산-211,안산-1661,안산-853,안산-25,안산-1355
P2,안산-48,안산-1289,안산-209,안산-225,안산-104,안산-1195,안산-462,안산-216,안산-1758,안산-909,안산-24,안산-1321
P3,안산-59,안산-1249,안산-222,안산-201,안산-105,안산-1187,안산-471,안산-681,안산-1740,안산-887,안산-78,안산-1200
P4,안산-32,안산-1260,안산-218,안산-204,안산-124,안산-1662,안산-467,안산-682,안산-1729,안산-707,안산-962,안산-1242
P5,안산-44,안산-1253,안산-200,안산-1267,안산-987,안산-1675,안산-452,안산-702,안산-1153,안산-838,안산-963,안산-1231
P6,안산-50,안산-1402,안산-233,안산-765,안산-966,안산-1653,안산-472,안산-686,안산-1169,안산-849,안산-959,안산-436
P7,DP,안산-1390,안산-237,안산-643,안산-986,안산-1680,안산-457,안산-679,안산-1154,안산-859,안산-265,안산-94
P8,안산-1117,안산-1381,안산-1706,안산-729,안산-1025,안산-1304,안산-924,안산-886,안산-1083,안산-826,안산-277,안산-88
P9,,안산-1382,안산-1709,안산-739,안산-1005,안산-1314,안산-917,안산-879,안산-1033,안산-825,안산-302,안산-363
P10,,안산-1405,안산-1713,안산-710,안산-1018,안산-1295,안산-926,안산-910,안산-1079,안산-829,안산-273,안산-333
P11,,안산-1397,안산-1712,안산-723,안산-991,안산-1307,안산-513,안산-899,안산-1098,안산-590,안산-261,안산-1608
P12,,안산-497,안산-1707,안산-343,안산-969,안산-1759,안산-514,안산-894,안산-1097,안산-602,안산-256,안산-1515
P13,,안산-493,,안산-465,안산-992,안산-1739,안산-402,안산-890,안산-1235,안산-548,안산-258,안산-1522
P14,,안산-503,,안산-625,안산-979,안산-1755,안산-658,안산-804,안산-1241,안산-541,안산-1127,안산-1519
P15,,,,안산-619,안산-1346,안산-1768,안산-374,안산-811,안산-1243,안산-544,안산-1141,안산-1513
P16,,,,안산-615,안산-1326,안산-1721,안산-382,안산-583,안산-1374,안산-823,안산-1593,안산-1511
P17,,,,안산-546,안산-1335,안산-1746,안산-354,안산-561,안산-1202,안산-774,안산-1588,안산-1524
P18,,,,안산-351,안산-1323,안산-1727,안산-661,안산-566,안산-1209,안산-790,안산-1568,안산-1510
P19,,,,안산-362,,안산-1075,안산-906,안산-605,,안산-431,안산-1459,
P20,,,,,,안산-1073,안산-871,안산-564,,안산-419,안산-1442,
P21,,,,,,,안산-870,안산-559,,안산-425,안산-1543,
P22,,,,,,,안산-880,안산-597,,안산-413,안산-1474,
P23,,,,,,,,안산-596,,안산-417,안산-1530,
P24,,,,,,,,안산-604,,안산-433,,
