,Left_Time,total_distance_x,Match-1,Match-2,left_time,work_time,to_dp_time,to_dp_distance,total_distance_y,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
0,7.609903667908597,167.80615800586867,Temp_Route11,Temp_Route14,215.5349737804468,264.46502621955324,90.70424125504285,41.24414073210833,93.18320044022137,DP,안산-175,안산-168,안산-1485,안산-186,안산-182,안산-189,안산-46,DP,안산-1537,안산-1487,안산-1536,안산-1432,안산-1509,안산-1520,,,,,,,,,,
1,50.460850683290026,114.51346508507754,Temp_Route0,,50.460850683290026,429.53914931671,40.111297658303485,11.73159030067703,114.51346508507754,DP,안산-1532,안산-1528,안산-1618,안산-1435,안산-1434,안산-1517,안산-1507,안산-1522,안산-1525,안산-1519,안산-1523,안산-1514,안산-1109,안산-1136,안산-1122,안산-1126,안산-1177,안산-1155,안산-1152,안산-1142,안산-1168,,,
2,71.24344310606905,91.93724818319818,Temp_Route1,,71.24344310606905,408.75655689393096,59.007717104874104,22.754501644509894,91.93724818319818,DP,안산-172,안산-1475,안산-1494,안산-1488,안산-1470,안산-1491,안산-1455,안산-1610,안산-1586,안산-1584,안산-1597,안산-1569,안산-1599,안산-1592,안산-1596,안산-1436,안산-1437,안산-1562,안산-1551,안산-1620,안산-1561,안산-1554,안산-1550,안산-1558
3,76.6187425871761,117.93450865203762,Temp_Route2,,76.6187425871761,403.3812574128239,64.46736309023566,25.939295135970802,117.93450865203762,DP,안산-1767,안산-1716,안산-1728,안산-1145,안산-1160,안산-1148,안산-1139,안산-1129,안산-1128,안산-1124,안산-289,안산-263,안산-286,안산-294,안산-255,안산-267,안산-280,안산-1542,안산-1611,,,,,
4,123.71792107162838,96.68017965259908,Temp_Route3,,123.71792107162838,356.2820789283716,59.7052119015448,23.161373609234467,96.68017965259908,DP,안산-1001,안산-971,안산-1024,안산-357,안산-346,안산-341,안산-356,안산-344,안산-540,안산-549,안산-337,안산-334,안산-274,안산-304,안산-262,안산-266,,,,,,,,
5,126.34199246258808,99.50590044418371,Temp_Route4,,126.34199246258808,353.6580075374119,74.00897773997077,31.505237014982953,99.50590044418371,DP,안산-20,안산-12,안산-67,안산-80,안산-15,안산-70,안산-37,안산-316,안산-767,안산-949,안산-951,안산-324,안산-317,안산-414,안산-415,,,,,,,,,
6,126.88655784802074,103.1598663472066,Temp_Route5,,126.88655784802074,353.11344215197926,67.315924731272,27.600956093242004,103.1598663472066,DP,안산-1682,안산-1663,안산-1671,안산-1686,안산-1683,안산-1653,안산-1680,안산-1302,안산-1315,안산-1307,안산-1759,안산-1735,안산-1742,,,,,,,,,,,
7,136.15739420233837,130.23211890872278,Temp_Route6,,136.15739420233837,343.84260579766163,67.315924731272,27.600956093242004,130.23211890872278,DP,안산-1661,안산-1684,안산-1754,안산-1757,안산-1732,안산-1071,안산-1060,안산-1084,안산-1046,안산-1073,안산-1093,안산-1072,,,,,,,,,,,,
8,157.54270051580957,83.3428240123544,Temp_Route7,,157.54270051580957,322.45729948419046,83.11350759085178,36.816212761330206,83.3428240123544,DP,안산-942,안산-876,안산-935,안산-845,안산-840,안산-852,안산-603,안산-608,안산-602,안산-599,안산-834,안산-850,안산-847,안산-563,안산-581,,,,,,,,,
9,177.54009039755036,93.2575317839747,Temp_Route8,,177.54009039755036,302.45990960244967,125.64291793964485,61.62503546479283,93.2575317839747,DP,안산-223,안산-245,안산-145,안산-146,안산-137,안산-919,안산-918,안산-921,안산-925,안산-1636,안산-452,,,,,,,,,,,,,
10,180.74169197683497,91.47396737667218,Temp_Route9,,180.74169197683497,299.258308023165,101.18113776541976,47.35566369649486,91.47396737667218,DP,안산-1710,안산-1713,안산-385,안산-395,안산-667,안산-666,안산-663,안산-893,안산-883,안산-867,안산-896,,,,,,,,,,,,,
11,200.82884312819237,89.33472533900417,Temp_Route10,,200.82884312819237,279.1711568718076,95.1238182614515,43.822227319180044,89.33472533900417,DP,안산-1625,안산-1639,안산-1632,안산-74,안산-31,안산-69,안산-58,안산-42,안산-43,,,,,,,,,,,,,,,
12,247.72071645487546,82.64595804098091,Temp_Route12,,247.72071645487546,232.27928354512454,62.124400046301126,24.572566693675657,82.64595804098091,DP,안산-1332,안산-1336,안산-1347,안산-1047,안산-1053,안산-1105,안산-1369,,,,,,,,,,,,,,,,,
13,259.4995549263546,57.522136790277756,Temp_Route13,,259.4995549263546,220.50044507364538,81.73636332651391,36.01287860713312,57.522136790277756,DP,안산-954,안산-611,안산-655,안산-649,안산-633,안산-628,안산-545,안산-542,안산-634,안산-358,,,,,,,,,,,,,,
