,Temp_Route0,Temp_Route1,Temp_Route2,Temp_Route3,Temp_Route4,Temp_Route5,Temp_Route6,Temp_Route7,Temp_Route8,Temp_Route9,Temp_Route10,Temp_Route11,Temp_Route12,Temp_Route13,Temp_Route14
left_time,50.460850683290026,71.24344310606905,76.6187425871761,123.71792107162838,126.34199246258808,126.88655784802074,136.15739420233837,157.54270051580957,177.54009039755036,180.74169197683497,200.82884312819237,215.5349737804468,247.72071645487546,259.4995549263546,362.77917114250465
work_time,429.53914931671,408.75655689393096,403.3812574128239,356.2820789283716,353.6580075374119,353.11344215197926,343.84260579766163,322.45729948419046,302.45990960244967,299.258308023165,279.1711568718076,264.46502621955324,232.27928354512454,220.50044507364538,117.22082885749535
to_dp_time,40.111297658303485,59.007717104874104,64.46736309023566,59.7052119015448,74.00897773997077,67.315924731272,67.315924731272,83.11350759085178,125.64291793964485,101.18113776541976,95.1238182614515,90.70424125504285,62.124400046301126,81.73636332651391,66.02322215803136
to_dp_distance,11.73159030067703,22.754501644509894,25.939295135970802,23.161373609234467,31.505237014982953,27.600956093242004,27.600956093242004,36.816212761330206,61.62503546479283,47.35566369649486,43.822227319180044,41.24414073210833,24.572566693675657,36.01287860713312,26.846879592184955
total_distance,114.51346508507754,91.93724818319818,117.93450865203762,96.68017965259908,99.50590044418371,103.1598663472066,130.23211890872278,83.3428240123544,93.2575317839747,91.47396737667218,89.33472533900417,93.18320044022137,82.64595804098091,57.522136790277756,33.37881683353897
P1,안산-1532,안산-172,안산-1767,안산-1001,안산-20,안산-1682,안산-1661,안산-942,안산-223,안산-1710,안산-1625,안산-175,안산-1332,안산-954,안산-1537
P2,안산-1528,안산-1475,안산-1716,안산-971,안산-12,안산-1663,안산-1684,안산-876,안산-245,안산-1713,안산-1639,안산-168,안산-1336,안산-611,안산-1487
P3,안산-1618,안산-1494,안산-1728,안산-1024,안산-67,안산-1671,안산-1754,안산-935,안산-145,안산-385,안산-1632,안산-1485,안산-1347,안산-655,안산-1536
P4,안산-1435,안산-1488,안산-1145,안산-357,안산-80,안산-1686,안산-1757,안산-845,안산-146,안산-395,안산-74,안산-186,안산-1047,안산-649,안산-1432
P5,안산-1434,안산-1470,안산-1160,안산-346,안산-15,안산-1683,안산-1732,안산-840,안산-137,안산-667,안산-31,안산-182,안산-1053,안산-633,안산-1509
P6,안산-1517,안산-1491,안산-1148,안산-341,안산-70,안산-1653,안산-1071,안산-852,안산-919,안산-666,안산-69,안산-189,안산-1105,안산-628,안산-1520
P7,안산-1507,안산-1455,안산-1139,안산-356,안산-37,안산-1680,안산-1060,안산-603,안산-918,안산-663,안산-58,안산-46,안산-1369,안산-545, 
P8,안산-1522,안산-1610,안산-1129,안산-344,안산-316,안산-1302,안산-1084,안산-608,안산-921,안산-893,안산-42, , ,안산-542, 
P9,안산-1525,안산-1586,안산-1128,안산-540,안산-767,안산-1315,안산-1046,안산-602,안산-925,안산-883,안산-43, , ,안산-634, 
P10,안산-1519,안산-1584,안산-1124,안산-549,안산-949,안산-1307,안산-1073,안산-599,안산-1636,안산-867, , , ,안산-358, 
P11,안산-1523,안산-1597,안산-289,안산-337,안산-951,안산-1759,안산-1093,안산-834,안산-452,안산-896, , , , , 
P12,안산-1514,안산-1569,안산-263,안산-334,안산-324,안산-1735,안산-1072,안산-850, , , , , , , 
P13,안산-1109,안산-1599,안산-286,안산-274,안산-317,안산-1742, ,안산-847, , , , , , , 
P14,안산-1136,안산-1592,안산-294,안산-304,안산-414, , ,안산-563, , , , , , , 
P15,안산-1122,안산-1596,안산-255,안산-262,안산-415, , ,안산-581, , , , , , , 
P16,안산-1126,안산-1436,안산-267,안산-266, , , , , , , , , , , 
P17,안산-1177,안산-1437,안산-280, , , , , , , , , , , , 
P18,안산-1155,안산-1562,안산-1542, , , , , , , , , , , , 
P19,안산-1152,안산-1551,안산-1611, , , , , , , , , , , , 
P20,안산-1142,안산-1620, , , , , , , , , , , , , 
P21,안산-1168,안산-1561, , , , , , , , , , , , , 
P22, ,안산-1554, , , , , , , , , , , , , 
P23, ,안산-1550, , , , , , , , , , , , , 
P24, ,안산-1558, , , , , , , , , , , , , 
