,Temp_Route0,Temp_Route1,Temp_Route2,Temp_Route3,Temp_Route4
left_time,39.499496829772674,59.63082532706483,132.2842308126752,134.4171810628337,174.42229308798625
work_time,440.5005031702273,420.3691746729352,347.7157691873248,345.5828189371663,305.57770691201375
to_dp_time,38.23350200755074,40.11781010436742,63.72009338609686,60.24983999688946,57.63300855173245
to_dp_distance,10.636209504404595,11.735389227547664,25.503387808556504,23.479073331518855,21.95258832184393
total_distance,130.81104511205902,95.04628513067054,127.00086535927285,84.9233110466804,101.0528915607715
P1,안산-1672,안산-428,안산-1767,안산-584,안산-1702
P2,안산-1760,안산-442,안산-1716,안산-800,안산-576
P3,안산-1744,안산-92,안산-1728,안산-529,안산-641
P4,안산-1737,안산-262,안산-1731,안산-789,안산-83
P5,안산-1037,안산-297,안산-1161,안산-777,안산-1247
P6,안산-1087,안산-1457,안산-1157,안산-796,안산-1209
P7,안산-165,안산-1449,안산-1171,안산-781,안산-1210
P8,안산-155,안산-1451,안산-1166,안산-750,안산-1197
P9,안산-1201,안산-1440,안산-1433,안산-327,안산-1216
P10,안산-1214,안산-1468, ,안산-314,안산-162
P11,안산-1224,안산-1538, ,안산-324, 
P12,안산-1219,안산-1587, ,안산-958, 
P13,안산-1232,안산-1581, ,안산-952, 
P14,안산-1140,안산-1604, ,안산-295, 
P15,안산-1110,안산-1569, ,안산-256, 
P16,안산-1118,안산-1571, ,안산-285, 
P17,안산-1156,안산-1548, ,안산-272, 
P18,안산-1180,안산-1516, , , 
P19,안산-1143,안산-1608, , , 
P20,안산-1150,안산-1576, , , 
P21, ,안산-1115, , , 
P22, ,안산-1119, , , 
P23, ,안산-1121, , , 
P24, , , , , 
P25, , , , , 
